,orid,status
880,20180729H110017,false
881,20180729H110052,false
882,20180729H130092,false
883,20180729H180201,false
884,20180729H210020,false
885,20180729H210207,false
886,20180730H000078,false
887,20180730H020027,false
888,20180730H020061,false
889,20180730H020093,false
890,20180730H030012,false
891,20180730H030015,false
892,20180730H030023,false
893,20180730H030025,false
894,20180730H030026,false
895,20180730H030027,false
896,20180730H030028,false
897,20180730H030029,false
898,20180730H030036,false
899,20180730H030037,false
900,20180730H030038,false
901,20180730H030044,false
902,20180730H030045,false
903,20180730H030051,false
904,20180730H030053,false
905,20180730H030054,false
906,20180730H030056,false
907,20180730H030057,false
908,20180730H030058,false
909,20180730H030075,false
910,20180730H030089,false
911,20180730H030092,false
912,20180730H030093,false
913,20180730H030098,false
914,20180730H030101,false
915,20180730H030102,false
916,20180730H030107,false
917,20180730H030110,false
918,20180730H030111,false
919,20180730H030115,false
920,20180730H030123,false
921,20180730H030129,false
922,20180730H030135,false
923,20180730H030136,unassigned
924,20180730H030138,unassigned
925,20180730H030146,unassigned
926,20180730H030157,unassigned
927,20180730H030168,unassigned
928,20180730H030186,unassigned
929,20180730H030188,unassigned
930,20180730H030197,unassigned
931,20180730H030198,unassigned
932,20180730H030205,unassigned
933,20180730H030206,unassigned
934,20180730H030207,unassigned
935,20180730H030228,unassigned
936,20180730H030230,unassigned
937,20180730H030236,unassigned
938,20180730H030245,unassigned
939,20180730H030252,unassigned
940,20180730H030256,unassigned
941,20180730H030263,unassigned
942,20180730H030300,unassigned
943,20180730H030311,unassigned
944,20180730H030316,unassigned
945,20180730H030356,unassigned
946,20180730H030387,unassigned
947,20180730H030405,unassigned
948,20180730H030417,unassigned
949,20180730H030421,unassigned
950,20180730H030473,unassigned
951,20180730H030514,unassigned
952,20180730H030599,unassigned
953,20180730H030650,unassigned
954,20180730H040003,unassigned
955,20180730H040004,unassigned
956,20180730H040016,unassigned
957,20180730H040021,unassigned
958,20180730H040034,unassigned
959,20180730H040041,unassigned
